Document # (page in master .pdf file)	Date (MM/DD/YYYY format)	"Name of writer (last, first, middle)"
382	10/13/32	N/A
341	10/14/32	"Newcomb, W, J"
342	10/14/32	"Newcomb, W, J"
332	10/15/32	"Newcomb, W, J"
362	10/15/32	"Eddy, Ronald, E"
363	10/15/32	"Eddy, Ronald, E"
351	10/17/32	N/A
377	10/17/32	"Newcomb, W, J"
380	10/17/32	"Newcomb, W, J"
376	10/18/32	"Kenworthy, John, R"
220	10/20/32	N/A
352	10/24/32	"Newcomb, W, J"
346	10/25/32	"Newcomb, W, J"
349	10/25/32	"Newcomb, W, J"
350	10/25/32	"Newcomb, W, J"
340	10/26/32	"King, H, Prior"
348	10/26/32	"Newcomb, W, J"
338	10/31/32	"Newcomb, W, J"
339	10/31/32	"Newcomb, W, J"
344	10/31/32	N/A
337	11/01/32	"Greene, Willard, C"
336	11/02/32	"Teddy,Donald"
335	11/07/32	"Newcomb, W, J"
345	11/07/32	"Newcomb, W, J"
331	11/15/32	N/A
333	11/15/32	"Newcomb, W, J"
330	11/16/32	"Kenworthy, John, R"
329	11/18/32	"Newcomb, W, J"
328	11/19/32	"Eddy, Ronald, E"
327	11/22/32	"Kenworthy, John, R"
326	11/25/32	"Newcomb, W, J"
325	11/28/32	N/A
323	03/06/33	N/A
322	03/15/33	"Newcomb, W, J"
315	03/29/33	N/A
315	03/29/33	"Huntsman, A, J"
321	04/29/33	"Naatz, Seymour"
320	05/02/33	N/A
317	05/11/33	"McCormick, John, T"
316	05/15/33	"L, M, B"
312	05/29/33	"Newcomb, W, J"
313	05/29/33	"Newcomb, W, J"
313	05/29/33	"Newcomb, W, J"
314	05/29/33	"Newcomb, W, J"
324	06/01/33	Willomec Creek Hatchery
318	06/02/33	"McCormick, John, T"
311	08/02/33	"Stillman, Donald"
306	10/07/33	American Fish Culture Company
304	10/17/33	N/A
308	10/17/33	"Newcomb, W, J"
301	12/19/33	American Fish Culture Company
302	12/30/33	"Newcomb, W, J"
300	01/31/34	"Eddy, Roland, E"
299	02/05/34	"Newcomb, W, J"
213	06/16/34	N/A
273	06/18/34	N/A
298	06/20/34	"Newcomb, W, J"
211	06/21/34	"Thurston, Louis, S"
212	06/21/34	N/A
296	06/21/34	"Hoxsie, F, D"
210	06/25/34	"Kenworthy, John, R"
210	06/25/34	"Kenworthy, John, R"
208	06/27/34	Wood Flong Corporation
289	07/02/34	"Newcomb, W, J"
290	07/02/34	"Newcomb, W, J"
291	07/02/34	"Newcomb, W, J"
291	07/02/34	"Newcomb, W, J"
292	07/02/34	N/A
